id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;901;0300000;0399999;100000;2;mg;ООО "Т2 Мобайл";Ивановская обл.;Ивановская область;7743895280;2025-05-01 12:46:22
0;901;0400000;0499999;100000;2;mg;ООО "Т2 Мобайл";Ярославская обл.;Ярославская область;7743895280;2025-05-01 12:46:22
0;901;0500000;0599999;100000;2;mg;ООО "Т2 Мобайл";Ярославская обл.;Ярославская область;7743895280;2025-05-01 12:46:22
0;901;0600000;0699999;100000;0;vz;МИНЦИФРЫ РОССИИ;Москва и Московская область;Город Москва, Московская область;7710474375;2025-05-01 12:46:22
0;901;0700000;0749999;50000;3;mg;МИНЦИФРЫ РОССИИ;г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7710474375;2025-05-01 12:46:22
0;901;0750000;0758999;9000;0;vz;ООО "МОЙ ОПЕРАТОР";Москва и Московская область;Город Москва, Московская область;9722028932;2025-05-01 12:46:22
0;901;0759000;0763999;5000;3;mg;ООО "МОЙ ОПЕРАТОР";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;9722028932;2025-05-01 12:46:22
0;901;0764000;0764499;500;2;mg;ООО "МОЙ ОПЕРАТОР";Нижегородская обл.;Нижегородская область;9722028932;2025-05-01 12:46:22
0;901;0764500;0764999;500;4;mg;ООО "МОЙ ОПЕРАТОР";Челябинская обл.;Челябинская область;9722028932;2025-05-01 12:46:22
0;901;0765000;0769999;5000;3;mg;ООО "ЭКСПРЕСС МОБАЙЛ";Ростовская обл.;Ростовская область;6163225548;2025-05-01 12:46:22
0;901;0770000;0776999;7000;0;vz;ООО "ИНТЕРНОД";Москва и Московская область;Город Москва, Московская область;7733808377;2025-05-01 12:46:22
0;901;0777000;0777999;1000;0;vz;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253;2025-05-01 12:46:22
0;901;0778000;0779999;2000;0;vz;ООО "ИНТЕРНОД";Москва и Московская область;Город Москва, Московская область;7733808377;2025-05-01 12:46:22
0;901;0780000;0789999;10000;0;vz;ООО "ИНТЕРНОД";Москва и Московская область;Город Москва, Московская область;7733808377;2025-05-01 12:46:22
0;901;0790000;0799999;10000;3;mg;ООО "ВТБ МОБАЙЛ";Архангельская область, Ненецкий автономный округ;Архангельская область, Ненецкий автономный округ;9705121882;2025-05-01 12:46:22
0;901;0800000;0899999;100000;4;mg;ООО "Т2 Мобайл";Оренбургская обл.;Оренбургская область;7743895280;2025-05-01 12:46:22
0;901;0900000;0919999;20000;0;vz;ООО "СИМ ТЕЛЕКОМ";Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;901;0920000;0939999;20000;2;mg;ООО "Т2 Мобайл";Воронежская обл.;Воронежская область;7743895280;2025-05-01 12:46:22
0;901;0940000;0949999;10000;2;mg;ООО "Т2 Мобайл";Рязанская обл.;Рязанская область;7743895280;2025-05-01 12:46:22
0;901;0950000;0999999;50000;4;mg;ООО "Т2 Мобайл";Оренбургская обл.;Оренбургская область;7743895280;2025-05-01 12:46:22
0;901;1000000;1059999;60000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;901;1060000;1069999;10000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;901;1070000;1079999;10000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;901;1080000;1089999;10000;4;mg;АО "МТТ";Омская обл.;Омская область;7705017253;2025-05-01 12:46:22
0;901;1090000;1099999;10000;4;mg;ООО "Т2 Мобайл";Оренбургская обл.;Оренбургская область;7743895280;2025-05-01 12:46:22
0;901;1100000;1109999;10000;2;mg;ПАО "Ростелеком";Тверская обл.;Тверская область;7707049388;2025-05-01 12:46:22
0;901;1110000;1119999;10000;5;mg;ООО "Т2 МОБАЙЛ";Красноярский край;Красноярский край;7743895280;2025-05-01 12:46:22
0;901;1120000;1159999;40000;4;mg;ООО "Т2 Мобайл";Оренбургская обл.;Оренбургская область;7743895280;2025-05-01 12:46:22
0;901;1160000;1169999;10000;0;vz;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253;2025-05-01 12:46:22
0;901;1170000;1239999;70000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;901;1240000;1249999;10000;4;mg;ООО "Т2 МОБАЙЛ";Кемеровская обл.;Кемеровская область - Кузбасс;7743895280;2025-05-01 12:46:22
0;901;1250000;1269999;20000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;901;1270000;1279999;10000;2;mg;ООО "Т2 Мобайл";Калужская обл.;Калужская область;7743895280;2025-05-01 12:46:22
0;901;1280000;1289999;10000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;901;1290000;1299999;10000;0;vz;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253;2025-05-01 12:46:22
0;901;1300000;1314999;15000;3;mg;ООО "Т2 Мобайл";Волгоградская обл.;Волгоградская область;7743895280;2025-05-01 12:46:22
0;901;1315000;1315099;100;3;mg;ООО "Т2 МОБАЙЛ";Республика Марий Эл;Республика Марий Эл;7743895280;2025-05-01 12:46:22
0;901;1315100;1315199;100;2;mg;ООО "Т2 МОБАЙЛ";Чувашская Республика;Чувашская Республика - Чувашия;7743895280;2025-05-01 12:46:22
0;901;1315200;1315299;100;2;mg;ООО "Т2 Мобайл";Брянская обл.;Брянская область;7743895280;2025-05-01 12:46:22
0;901;1315300;1315399;100;2;mg;ООО "Т2 Мобайл";Республика Мордовия;Республика Мордовия;7743895280;2025-05-01 12:46:22
0;901;1315400;1315499;100;4;mg;ООО "Т2 МОБАЙЛ";Кемеровская обл.;Кемеровская область - Кузбасс;7743895280;2025-05-01 12:46:22
0;901;1315500;1315599;100;2;mg;ООО "Т2 Мобайл";Воронежская обл.;Воронежская область;7743895280;2025-05-01 12:46:22
0;901;1315600;1315699;100;4;mg;ООО "Т2 МОБАЙЛ";Томская обл.;Томская область;7743895280;2025-05-01 12:46:22
0;901;1315700;1315799;100;2;mg;ООО "Т2 МОБАЙЛ";Чувашская Республика;Чувашская Республика - Чувашия;7743895280;2025-05-01 12:46:22
0;901;1315800;1315899;100;3;mg;ООО "Т2 МОБАЙЛ";Удмуртская Республика;Удмуртская Республика;7743895280;2025-05-01 12:46:22
0;901;1315900;1315999;100;4;mg;ООО "Т2 Мобайл";Астраханская обл.;Астраханская область;7743895280;2025-05-01 12:46:22
0;901;1316000;1316099;100;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;901;1316100;1316199;100;4;mg;ООО "Т2 МОБАЙЛ";Омская обл.;Омская область;7743895280;2025-05-01 12:46:22
0;901;1316200;1316299;100;2;mg;ООО "Т2 Мобайл";Республика Мордовия;Республика Мордовия;7743895280;2025-05-01 12:46:22
0;901;1316300;1316399;100;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
